ID,revolutions,humidity,vibration
690,91.085,73.775,18.69
691,91.082,73.774,18.69
692,91.078,73.774,18.69
693,91.074,73.774,18.69
695,91.066,73.773,18.69
696,91.062,73.773,18.7
697,91.058,73.772,18.7
698,91.055,73.772,18.7
699,91.051,73.772,18.7
700,91.047,73.772,18.7
702,91.039,73.771,18.7
703,91.035,73.771,18.7
704,91.031,73.77,18.7
705,91.028,73.77,18.7
706,91.024,73.77,18.71
708,91.016,73.769,18.71
709,91.012,73.769,18.71
710,91.008,73.768,18.71
711,91.004,73.768,18.71
712,91.001,73.768,18.71
713,90.997,73.767,18.71
714,90.993,73.767,18.71
715,90.989,73.767,18.71
717,90.981,73.766,18.72
718,90.977,73.766,18.72
719,90.974,73.765,18.72
720,90.97,73.765,18.72
721,90.966,73.765,18.72
723,90.958,73.764,18.72
724,90.954,73.764,18.72
725,90.95,73.763,18.72
726,90.947,73.763,18.73
727,90.943,73.763,18.73
728,90.939,73.762,18.73
729,90.935,73.762,18.73
730,90.931,73.762,18.73
731,90.927,73.761,18.73
732,90.923,73.761,18.73
734,90.916,73.761,18.73
736,90.908,73.76,18.74
738,90.9,73.759,18.74
739,90.896,73.759,18.74
740,90.892,73.759,18.74
742,90.885,73.758,18.74
743,90.881,73.758,18.74
744,90.877,73.757,18.74
745,90.873,73.757,18.74
746,90.869,73.757,18.75
748,90.862,73.756,18.75
751,90.85,73.755,18.75
752,90.846,73.755,18.75
753,90.842,73.754,18.75
754,90.838,73.754,18.75
755,90.835,73.754,18.75
756,90.831,73.753,18.76
758,90.823,73.753,18.76
759,90.819,73.752,18.76
760,90.815,73.752,18.76
762,90.808,73.751,18.76
763,90.804,73.751,18.76
764,90.8,73.751,18.76
765,90.796,73.75,18.76
766,90.792,73.75,18.77
768,90.784,73.749,18.77
769,90.781,73.749,18.77
770,90.777,73.749,18.77
771,90.773,73.749,18.77
772,90.769,73.748,18.77
774,90.761,73.748,18.77
775,90.757,73.747,18.77
776,90.754,73.747,18.78
777,90.75,73.747,18.78
778,90.746,73.746,18.78
780,90.738,73.746,18.78
781,90.734,73.745,18.78
782,90.73,73.745,18.78
783,90.726,73.745,18.78
784,90.723,73.744,18.78
785,90.719,73.744,18.78
786,90.715,73.744,18.79
787,90.711,73.743,18.79
788,90.707,73.743,18.79
789,90.703,73.743,18.79
790,90.699,73.742,18.79
792,90.692,73.742,18.79
793,90.688,73.741,18.79
794,90.684,73.741,18.79
795,90.68,73.741,18.79
797,90.672,73.74,18.8
798,90.669,73.74,18.8
799,90.665,73.739,18.8
800,90.661,73.739,18.8
801,90.657,73.739,18.0
803,90.649,73.738,18.8
804,90.645,73.738,18.8
806,90.638,73.737,18.81
807,90.634,73.737,18.81
808,90.63,73.737,18.81
809,90.626,73.736,18.81
810,90.622,73.736,18.81
811,90.618,73.736,18.81
812,90.615,73.735,18.81
813,90.611,73.735,18.81
814,90.607,73.735,18.81
815,90.603,73.734,18.81
816,90.599,73.734,18.82
818,90.591,73.733,18.82
819,90.588,73.733,18.82
821,90.58,73.732,18.82
822,90.576,73.732,18.82
823,90.572,73.732,18.82
824,90.568,73.731,18.82
825,90.564,73.731,18.82
826,90.56,73.731,18.83
827,90.557,73.73,18.83
829,90.549,73.73,18.83
830,90.545,73.729,18.83
832,90.537,73.729,18.83
833,90.533,73.728,18.83
834,90.53,73.728,18.83
836,90.522,73.727,18.84
837,90.518,73.727,18.84
838,90.514,73.727,18.84
839,90.51,73.726,18.84
840,90.506,73.726,18.84
841,90.503,73.726,18.84
842,90.499,73.726,18.84
843,90.495,73.725,18.84
844,90.491,73.725,18.84
846,90.483,73.724,18.85
847,90.479,73.724,18.85
849,90.472,73.723,18.85
850,90.468,73.723,18.85
851,90.464,73.723,18.85
852,90.46,73.722,18.85
854,90.452,73.722,18.85
856,90.445,73.721,18.86
857,90.441,73.721,18.86
858,90.437,73.72,18.86
859,90.433,73.72,18.86
860,90.429,73.72,18.86
861,90.425,73.719,18.86
862,90.422,73.719,18.86
863,90.418,73.719,18.86
864,90.414,73.718,18.86
865,90.41,73.718,18.86
